Надо брать	Текст сообщения	Дата	Время	Канал	Тайминг	Компания
Возможно	Бельгия задним числом изменила закон о применении санкций ЕС, чтобы легализовать полномочия казначейства отказывать россиянам в разблокировке активов — Известия Читать далее 👉 https://smartlab.news/i/202486 мы в max	31.08.2026	12:50	Смарт Лаб	31.08.2026 12:50:00	
Не важно	⚠️🇩🇪#доходности #германия #облигации Доходность 30-леток, как и 10-леток Германии, обновляет новые 15-летние максимумы	31.08.2026	12:53	Market Twits	31.08.2026 12:53:00	
Возможно	⚠️🇷🇺#выборы #россия ЕС и ведущие страны Европы реализуют масштабную стратегию по дестабилизации ситуации в России перед выборами — СВР	31.08.2026	12:54	Market Twits	31.08.2026 12:54:00	
Возможно	ЕС планирует включить 800 физлиц и 800 юрлиц в новый пакет антироссийских санкций — Politico Читать далее 👉 https://smartlab.news/i/202487 мы в max	31.08.2026	12:56	Смарт Лаб	31.08.2026 12:56:00	
Не важно	ЦБ: С 1 сентября крупнейшие банки и розничные компании открывают инфраструктуру для работы с цифровым рублём Читать далее 👉 https://smartlab.news/i/202489 мы в max	31.08.2026	12:58	Смарт Лаб	31.08.2026 12:58:00	
Возможно	МНЕНИЕ: Результаты Селигдара не радуют: убыток сохраняется даже при благоприятной конъюнктуре, свободный денежный поток остается отрицательным, а чистый долг продолжает стремительно расти — РенКап #SELG Читать далее 👉 https://smartlab.news/i/202490 мы в max	31.08.2026	13:02	Смарт Лаб	31.08.2026 13:02:00	
Не важно	🇷🇺#зерно #пшеница #россия Российский экспорт зерна ищет путь через Балтику, пока юг почти закрыт — RTRS	31.08.2026	13:05	Market Twits	31.08.2026 13:05:00	
Возможно	Аэрофлот вводит в промышленную эксплуатацию информационную систему "Купол" #AFLT Цифровая платформа предназначена для автоматизации техобслуживания авиационной техники на всем жизненном цикле. ИС «КУПОЛ» содержит решения, которые способны повысить операционную эффективность авиакомпании и производителя воздушного судна. Читать далее 👉 https://smartlab.news/i/202491 мы в max	31.08.2026	13:07	Смарт Лаб	31.08.2026 13:07:00	
Не важно	⚠️🇺🇸🇨🇳#торговыевойны #сша #китай Бессент планирует призвать членов G20 пересмотреть свои торговые отношения с Китаем «Мир не может позволить себе Китай с положительным сальдо торгового баланса в размере $1,2 трлн. Остальному миру придется пересмотреть условия торговли с Китаем». — Бессент в интервью RTRS	31.08.2026	13:14	Market Twits	31.08.2026 13:14:00	
Не важно	В Саратове началось строительство высокоавтоматизированного цифрового завода по производству раздаточных коробок для грузовых автомобилей. Инвестиции в проект превышают ₽20 млрд — Антон Алиханов #KMAZ Читать далее 👉 https://smartlab.news/i/202493 мы в max	31.08.2026	13:16	Смарт Лаб	31.08.2026 13:16:00	
Важно	⚠️🇪🇺🇷🇺#санкции #россия Евросоюз планирует принять новый пакет санкций в середине октября — Politico	31.08.2026	13:23	Market Twits	31.08.2026 13:23:00	
Возможно	#Санкции Евросоюз намеревается принять новый пакет санкций в середине октября, сообщают Politico и Bloomberg со ссылкой на дипломатов. В списки планируют включить около 1600 физических и юридических лиц из России. В случае утверждения этот пакет станет крупнейшим в истории ЕС.	31.08.2026	13:25	Шпион РЦБ	31.08.2026 13:25:00	
Возможно	Аптеки 36,6 заняли 5-е место в рейтинге аптечных сетей по итогам 1п 2026 г. от DSM Group #APTK Читать далее 👉 https://smartlab.news/i/202495 мы в max	31.08.2026	13:26	Смарт Лаб	31.08.2026 13:26:00	
Возможно	⬆️🇷🇺#FESH #отчетность Контейнерный рынок РФ в январе-июле вырос на 7%, до 4,2 миллиона TEU — FESCO	31.08.2026	13:34	Market Twits	31.08.2026 13:34:00	
Возможно	#FESH Контейнерный рынок РФ в январе-июле вырос на 7%, до 4,2 миллиона TEU — FESCO	31.08.2026	13:35	Шпион РЦБ	31.08.2026 13:35:00	
Не важно	Несмотря на масштабные планы по возведению гидроэлектростанций, в России сейчас не строится ни одной новой ГЭС — "Эксперт" #HYDR Средний срок строительства ГЭС — 10 лет, поэтому есть вероятность, что многие из проектов так и останутся на бумаге. Читать далее 👉 https://smartlab.news/i/202499 мы в max	31.08.2026	13:38	Смарт Лаб	31.08.2026 13:38:00	
Возможно	FESCO: Объём контейнерного рынка России за январь–июль вырос на 7% г/г, до 4,17 млн TEU. Импорт увеличился на 17% г/г, до 1,797 млн TEU, внутренние перевозки на 3% г/ш, 924 тыс. TEU, транзит на 1% г/г, до 335 тыс. TEU #FESH Читать далее 👉 https://smartlab.news/i/202500 мы в max	31.08.2026	13:38	Смарт Лаб	31.08.2026 13:38:00	
Возможно	МНЕНИЕ: Большинство опрошенных экспертов ожидают, что после возможного укрепления в сентябре валюта вернется к ослаблению в четвертом квартале — Ведомости Читать далее 👉 https://smartlab.news/i/202502 мы в max	31.08.2026	13:41	Смарт Лаб	31.08.2026 13:41:00	
Возможно	Озон Фармацевтика объявила о получении гослицензии на производство лекарственных средств для своей четвёртой производственной площадки - "Озон Медика" #OZPH «Озон Медика» построен на средства десятков тысяч инвесторов, привлеченных в ходе IPO и SPO. Общий объём инвестиций оценивается в 6 млрд рублей. Читать далее 👉 https://smartlab.news/i/202503 мы в max	31.08.2026	13:41	Смарт Лаб	31.08.2026 13:41:00	
Не важно	📈Цена нефти Brent превысила отметку в $91 за баррель на фоне очередного неспокойствия на Ближнем Востоке Читать далее 👉 https://smartlab.news/i/202504 мы в max	31.08.2026	13:47	Смарт Лаб	31.08.2026 13:47:00	
Возможно	СВР: Евросоюз и ведущие страны Европы реализуют масштабную стратегию по дестабилизации ситуации в России в преддверии единого дня голосования в сентябре Читать далее 👉 https://smartlab.news/i/202505 мы в max	31.08.2026	13:47	Смарт Лаб	31.08.2026 13:47:00	
Не важно	Общая потребность в танкерах для перевозки СПГ и газового конденсата для российских проектов оценивается на уровне более 40 единиц на горизонте до 2040 года — глава Минвостокразвития Чекунков #NVTK #GAZP Читать далее 👉 https://smartlab.news/i/202508 мы в max	31.08.2026	13:55	Смарт Лаб	31.08.2026 13:55:00	
Не важно	❗️🇷🇺#дкп #россия ЦБ РФ: Опубликован проект Основных направлений единой государственной денежно-кредитной политики на 2027–2029 годы релиз	31.08.2026	14:01	Market Twits	31.08.2026 14:01:00	
Важно	#Макро ЦБ РФ В "ДЕЗИНФЛЯЦИОННОМ" СЦЕНАРИИ ПРОГНОЗИРУЕТ КЛЮЧЕВУЮ СТАВКУ В 2026 Г. НА УРОВНЕ 14,5-14,6%, В 2027 Г. - 9-11% - РЕГУЛЯТОР ЦЕНТРАЛЬНЫЙ БАНК РОССИИ ОЖИДАЕТ, ЧТО ДЕФИЦИТ ТОПЛИВА НОРМАЛИЗУЕТСЯ, И ЗАЯВЛЯЕТ, ЧТО ЕГО ВЛИЯНИЕ НА ИНФЛЯЦИЮ БУДЕТ ОГРАНИЧЕННЫМ	31.08.2026	14:01	Шпион РЦБ	31.08.2026 14:01:00	
Возможно	ЦБ: Опубликован проект Основных направлений единой государственной ДКП на 2027–2029 годы Новая ключевая ставка в случае ее изменения будет начинать действовать не с понедельника, как сейчас, а с ближайшей среды, когда будут происходить расчеты по недельным аукционам Банка России и будет начинаться новый ПУ Читать далее 👉 https://smartlab.news/i/202509 мы в max	31.08.2026	14:02	Смарт Лаб	31.08.2026 14:02:00	
Возможно	ЦБ в дополнение к базовому сценарию развития экономики на ближайшие 3 года представил 3 альтернативных сценария – дезинфляционный, проинфляционный и рисковый Сценарии различаются предпосылками относительно внутренних и внешних условий. Они учитывают и складывающиеся тенденции, и возможные риски, что позволяет Банку России быть готовым к разным вариантам развития событий. Средняя ключевая ставка 2026 году ожидается на уровне 14,5-14,6% годовых, в 2027-м - 10,5-12,5%. Читать далее 👉 https://smartlab.news/i/202510 мы в max	31.08.2026	14:03	Смарт Лаб	31.08.2026 14:03:00	
Не важно	🇷🇺#5G #связь #россия Государственная комиссия по радиочастотам (ГКРЧ) утвердила условия запуска мобильной связи 5G в РФ Операторы "Билайн", "Мегафон", МТС и Т2 смогут разворачивать сети 5G в уже имеющихся диапазонах радиочастот, которые ранее выделялись под стандарт LTE (4G), с использованием установленных до 1 сентября 2026 года зарубежных базовых станций. Для развития высокопроизводительных сетей операторам "большой четверки" также выделены новые полосы радиочастот. Каждому по 90 МГц в диапазоне 4 630-4 990 МГц без проведения аукционов. Сети 5G на условиях технейтральности должны появиться в городах с населением более 1 млн человек в ближайшее время. В диапазоне 4,63-4,99 ГГц 5G запустят в наиболее популярных локациях городов-миллионников до конца 2028 года, в дальнейшем покрытие будет расширяться поэтапно в течение трех лет. С 2027 года предусмотрен поэтапный переход на отечественные базовые станции, который должен завершиться к концу 2031 года.	31.08.2026	14:05	Market Twits	31.08.2026 14:05:00	
Возможно	🌎#шос Путин прибыл в Бишкек на саммит ШОС Основное заседание пройдет в Бишкеке 1 сентября, а мероприятия высокого уровня запланированы на 31 августа — 1 сентября.	31.08.2026	14:06	Market Twits	31.08.2026 14:06:00	
Возможно	В 2026 году и на всем трехлетнем горизонте будет расти потребность банков в привлечении ликвидности у ЦБ вследствие увеличения наличных денег в обращении — регулятор Для дальнейшего снижения волатильности ставок денежного рынка Банк России в 2027 году планирует синхронизировать начало периодов усреднения обязательных резервов с началом действия новой ключевой ставки. Это уменьшит влияние стратегий банков по усреднению резервов на спред RUONIA к ключевой ставке. Читать далее 👉 https://smartlab.news/i/202511 мы в max	31.08.2026	14:07	Смарт Лаб	31.08.2026 14:07:00	
Возможно	Бурятзолото РСБУ 1п2026: 📈Выручка ₽0,8 млрд (+12,7% г/г) 📈Чистая прибыль ₽0,68 млрд (+82% г/г, увеличение в 1,8 раза г/г) Читать далее 👉 https://smartlab.news/i/202512 #BRZL	31.08.2026	14:08	Смарт Лаб	31.08.2026 14:08:00	
Не важно	⬆️🇺🇸#GME = +5% RTRS: GameStop ожидает снижения квартальных продаж из-за закрытия магазинов и ухода с рынка Франции	31.08.2026	14:10	Market Twits	31.08.2026 14:10:00	
	Бурятзолото МСФО 1п2026: 📈Чистый процентный доход ₽0,8 млрд (+12,7% г/г) 📈Чистая прибыль ₽0,68 млрд (+80,5% г/г, увеличение в 1,8 раза г/г) Читать далее 👉 https://smartlab.news/i/202513 #BRZL	31.08.2026	14:10	Смарт Лаб	31.08.2026 14:10:00	
Возможно	#Макро В инфляционном сценарии Банк России прогнозирует ключевую ставку в 2026 на уровне 14.5-14.6%, в 2027 — 13-15% — проект ДКП Вероятность данного сценария оценивается выше, чем сценария «Дезинфляционный».	31.08.2026	14:10	Шпион РЦБ	31.08.2026 14:10:00	
Возможно	ЦБ РФ: Требуется 3-6 кварталов, чтобы решения по ДКП (ставке) отразились на динамике цен в полной мере Читать далее 👉 https://smartlab.news/i/202514 мы в max	31.08.2026	14:13	Смарт Лаб	31.08.2026 14:13:00	
Не важно	В России утвердили условия запуска 5G — Минцифры #MTSS #RTKM Сети связи пятого поколения на условиях технейтральности должны появиться в городах с населением более 1 млн человек в самое ближайшее время. Читать далее 👉 https://smartlab.news/i/202517 мы в max	31.08.2026	14:17	Смарт Лаб	31.08.2026 14:17:00	
	Курганская генерирующая компания МСФО 1п 2026г: 📈Выручка 2,18 млрд (+16,5% г/г) 📉Убыток ₽0,2 млрд против прибыли ₽0,42 млрд годом ранее Читать далее 👉 https://smartlab.news/i/202518 #KGKCP	31.08.2026	14:20	Смарт Лаб	31.08.2026 14:20:00	
Возможно	МНЕНИЕ: Цифра брокер сохраняет нейтральную оценку ПРОМОМЕДа за 1П26: операционные показатели демонстрируют бурный рост, однако долговая нагрузка и отрицательный денежный поток требуют осторожности #PRMD Читать далее 👉 https://smartlab.news/i/202519 мы в max	31.08.2026	14:21	Смарт Лаб	31.08.2026 14:21:00	
Возможно	🛢🇷🇺#бензин #россия Начались продажи бензина класса Евро-4 на российских АЗС — ИТ	31.08.2026	14:27	Market Twits	31.08.2026 14:27:00	
Не важно	МНЕНИЕ: Понижаем наш 12-месячный целевой уровень по Газпрому до 130 ₽/акцию и сохраняем рейтинг Держать. Генерация денежного потока останется недостаточной для дивидендных выплат — РенКап #GAZP Читать далее 👉 https://smartlab.news/i/202522 мы в max	31.08.2026	14:41	Смарт Лаб	31.08.2026 14:41:00	
Не важно	📊🇺🇸#отчетности #сша Корпоративные отчетности в США на этой неделе	31.08.2026	14:42	Market Twits	31.08.2026 14:42:00	
Возможно	#ЦБРФ Банк России изменит с понедельника на среду начало действия новой ключевой ставки после заседаний регулятора	31.08.2026	14:43	Шпион РЦБ	31.08.2026 14:43:00	
Не важно	Войны и погодные условия привели к самому значительному месячному росту цен на сельскохозяйственную продукцию в мире с 2012 года — Bloomberg Читать далее 👉 https://smartlab.news/i/202523 мы в max	31.08.2026	14:44	Смарт Лаб	31.08.2026 14:44:00	
Возможно	🇷🇺#дкп #россия Банк России перенесет начало действия измененной ключевой ставки с понедельника на среду — проект	31.08.2026	14:45	Market Twits	31.08.2026 14:45:00	
Не важно	Объём торгов газом на Петербургской бирже в августе вырос на 3,5% г/г, до 1,051 млрд куб. м, однако с начала года продажи снижаются: 8,5 млрд куб. м против 9,9 млрд за восемь месяцев 2025 года #GAZP Читать далее 👉 https://smartlab.news/i/202524 мы в max	31.08.2026	14:45	Смарт Лаб	31.08.2026 14:45:00	
Возможно	Новак на совещании призвал действовать превентивно и оперативно принимать необходимые меры для недопущения дефицита топлива и обеспечения стабильной ситуации на внутреннем рынке Читать далее 👉 https://smartlab.news/i/202525 мы в max	31.08.2026	14:50	Смарт Лаб	31.08.2026 14:50:00	
Не важно	Почему Восточная Европа — ключ к контролю над Евразией: теория ХартлендаВ начале XX века британский географ Хэлфорд Маккиндер предложил одну из самых известных геополитических концепций — теорию Хартленда, или «сердцевинной земли».Логика была довольно простой: большая часть населения, ресурсов и территорий мира сосредоточена в едином массиве Европы, Азии и Африки — так называемом «Мировом острове». А значит, государство, способное контролировать его центральную часть, получает огромное стратегическое преимущество.В 1904 году Маккиндер назвал эту территорию Pivot Area — «осевой регион». Примерно это пространство России, Центральной Азии и прилегающих территорий.Его главная особенность — география. Огромную территорию трудно атаковать с моря, она обладает значительными природными ресурсами и потенциально способна обеспечивать себя продовольствием. В эпоху, когда железные дороги резко увеличили возможности сухопутных держав, это, по мнению Маккиндера, начинало снижать историческое преимущество морских держав вроде Великобритании.Но у Хартленда была уязвимость — Восточная Европа. Именно через нее проходил наиболее удобный сухопутный путь к центру Евразии.Позже Маккиндер сформулировал свою идею почти как геополитическую формулу:Кто контролирует Восточную Европу — контролирует Хартленд. Кто контролирует Хартленд — контролирует Мировой остров. Кто контролирует Мировой остров — контролирует мир.Теории больше ста лет, и воспринимать ее как буквальный закон геополитики не стоит. Технологии, авиация, ядерное оружие и мировая торговля сильно изменили значение географии.Но сама идея никуда не исчезла: контроль над транспортными коридорами, ресурсами и пространством между Европой и Азией по-прежнему остается одной из центральных тем мировой политики. #Политика	31.08.2026	14:51	Шпион РЦБ	31.08.2026 14:51:00	
Возможно	🇨🇳🇷🇺#событие #китай #россия Си Цзиньпин встретился с Путиным на саммите ШОС — CCTV	31.08.2026	14:52	Market Twits	31.08.2026 14:52:00	
Возможно	ННК-Варьеганнефтегаз РСБУ 1п2026: 📉Выручка ₽26,6 млрд (-16,5% г/г) 📈Чистая прибыль ₽0,3 млрд против чистого убытка ₽0,2 годом ранее Читать далее 👉 https://smartlab.news/i/202526 #VJGZP	31.08.2026	14:54	Смарт Лаб	31.08.2026 14:54:00	
Важно	#Политика Си Цзиньпин встретится с Путиным на саммите ШОС — CCTV Основное заседание Совета глав государств пройдет 1 сентября 2026 года в Бишкеке. Мероприятия высокого уровня запланированы на 31 августа — 1 сентября.	31.08.2026	14:55	Шпион РЦБ	31.08.2026 14:55:00	
Не важно	❗️🇩🇪#инфляция #германия #отчетность Германия - потребинфляция CPI (авг): м/м = +0.2% (ожид +0.3% / ранее +0.8%) г/г = +2.9% (ожид +3% / ранее +2.8%)	31.08.2026	15:00	Market Twits	31.08.2026 15:00:00	
	GloraX представил результаты за 1 полугодие 2026 года, где показал рост выручки на 45%, до 27 млрд рублей, валовой прибыли – на 28%, до 9,8 млрд рублей, сопоставимую EBITDA – на 36%, до 8,6 млрд рублей, чистой прибыли – на 29%, до 1,6 млрд рублей. Рентабельность по EBITDA составила 32%. Это уже не первый МСФО отчет девелопера, опережающий среднерыночные темпы. Долговая нагрузка в рамках ориентира: чистый долг/EBITDA – 2,9х при плановом уровне не выше 3,0х На фоне падения показателей у ряда крупных девелоперов GloraX продолжает расти существенно быстрее рынка, сохраняя фокус на региональной экспансии. Сильный отчет, который укладывается в стратегию и обещания компании. Продолжим наблюдать, удастся ли сохранить темп и контроль над долгом Читать далее 👉 https://smart-lab.ru/mobile/topic/1346116 мы в max	31.08.2026	15:01	Смарт Лаб	31.08.2026 15:01:00	
Не важно	МНЕНИЕ: Аналитики, опрошенные Рейтер, сохранили прогноз цен на нефть выше 80 долларов за баррель на 2026 год, несмотря на слабый спрос в Китае Читать далее 👉 https://smartlab.news/i/202529 мы в max	31.08.2026	15:01	Смарт Лаб	31.08.2026 15:01:00	
Не важно	🇺🇸#LMT #GM #впк #сша Пентагон сообщил: что General Dynamics и Lockheed Martin увеличат производственные мощности для систем THAAD и Patriot-3 заключены новые 7-летние контракты	31.08.2026	15:06	Market Twits	31.08.2026 15:06:00	
Не важно	Иногда кажется, что администрация Трампа черпает свое мировоззрение и внешнеполитические идеи из курса "Кремлевской школы международных отношений", который ведет Владимир Путин — Bloomberg Читать далее 👉 https://smartlab.news/i/202530 мы в max	31.08.2026	15:06	Смарт Лаб	31.08.2026 15:06:00	
Возможно	#ЦБРФ Заботкин проводит пресс-конференцию	31.08.2026	15:06	Шпион РЦБ	31.08.2026 15:06:00	
Важно	🇨🇳🇷🇺#событие #китай #россия ТАСС: Путин и Си Цзиньпин проводят двустороннюю встречу	31.08.2026	15:08	Market Twits	31.08.2026 15:08:00	
Важно	🇺🇸🇮🇷#трамп #иран Трамп опять заявил, что в Иране все плохо Иран официально является «провальной страной». ОН МЁРТВ! — Трамп	31.08.2026	15:10	Market Twits	31.08.2026 15:10:00	
Возможно	#Макро Поскольку уточненная траектория снижения структурного первичного дефицита до нулевого уровня к 2029 году пока не определена Правительством Российской Федерации, в базовом сценарии Банк России исходит из постепенного его сокращения с 2% ВВП в 2026 году до 1% ВВП в 2027 году и 0,5% ВВП в 2028 году с выходом на нулевой уровень в 2029 году — Заботкин	31.08.2026	15:10	Шпион РЦБ	31.08.2026 15:10:00	
Возможно	Банк России перенесет начало действия новой ключевой ставки после заседания регулятора с понедельника на среду Нововведение нужно для снижения волатильности ставок денежного рынка ЦБ РФ. Читать далее 👉 https://smartlab.news/i/202531 мы в max	31.08.2026	15:12	Смарт Лаб	31.08.2026 15:12:00	
Не важно	🇷🇺#депозиты #россия ВТБ с 1 сентября повышает максимальную ставку по накопительным счетам до 14,2% и повышает доходность по вкладам на шесть месяцев до 13,5% годовых	31.08.2026	15:15	Market Twits	31.08.2026 15:15:00	
Возможно	Трамп: Иран официально является Несостоявшейся нацией. ОН МЕРТВ! Единственное, что у них есть, - это фальшивые новости из США Их нужно судить за военные преступления против человечности! Читать далее 👉 https://smartlab.news/i/202532 мы в max	31.08.2026	15:17	Смарт Лаб	31.08.2026 15:17:00	
Важно	Заботкин: Пространство для снижения ставки сузилось еще в июле Читать далее 👉 https://smartlab.news/i/202533 мы в max	31.08.2026	15:17	Смарт Лаб	31.08.2026 15:17:00	
Важно	⚠️🇷🇺#дкп #россия #спикеры ПРОСТРАНСТВО ДЛЯ СНИЖЕНИЯ КЛЮЧЕВОЙ СТАВКИ СУЗИЛОСЬ ЕЩЕ В ИЮЛЬСКОМ РАНУДЕ, ДАЛЕЕ ЦБ БУДЕТ РАССМАТРИВАТЬ ВСЕ ФАКТОРЫ ПРИ ПРИНЯТИИ РЕШЕНИЯ — ЗАБОТКИН	31.08.2026	15:18	Market Twits	31.08.2026 15:18:00	
Важно	#Макро ПРОСТРАНСТВО ДЛЯ СНИЖЕНИЯ СТАВКИ СНИЗИЛОСЬ ЕЩЕ В ИЮЛЬСКОМ РАУНДЕ, ДАЛЬНЕЙШИЕ РЕШЕНИЯ ЦБ БУДУТ ПРОДИКТОВАНЫ СКЛАДЫВАЮЩЕЙСЯ СИТУАЦИЕЙ — ЗАБОТКИН	31.08.2026	15:19	Шпион РЦБ	31.08.2026 15:19:00	
Возможно	❗️🇷🇺#дкп #россия Пресс-конференция по проекту Основных направлений единой государственной денежно-кредитной политики на 2027 – 2029 гг СМОТРЕТЬ	31.08.2026	15:21	Market Twits	31.08.2026 15:21:00	
Возможно	#Макро Базовый сценарий в проекте ДКП наиболее вероятен, чем все остальные вместе взятые — Заботкин	31.08.2026	15:27	Шпион РЦБ	31.08.2026 15:27:00	
Возможно	🔥⚠️🇮🇷#иран #геополитика ТРАМП ОБЕЩАЕТ СИЛЬНО ОТВЕТИТЬ ИРАНУ	31.08.2026	15:30	Market Twits	31.08.2026 15:30:00	
Возможно	Заботкин: Рост наличных в обращении в 2026 году - догоняющая история - "наличные недоросли" в 24-25 гг из-за высоких ставок по депозитам Населению выгодно было держать деньги на банковских вкладах из-за высоких ставок. Читать далее 👉 https://smartlab.news/i/202536 мы в max	31.08.2026	15:31	Смарт Лаб	31.08.2026 15:31:00	
Важно	Заботкин: ЦБ рассматривает проинфляционный сценарий как наиболее вероятный из альтернативных сценариев развития экономики Читать далее 👉 https://smartlab.news/i/202538 мы в max	31.08.2026	15:34	Смарт Лаб	31.08.2026 15:34:00	
Важно	⚠️🇷🇺#дкп #россия #спикеры ПОКА ИНФЛЯЦИОННЫЕ ОЖИДАНИЯ ОСТАЮТСЯ ВЫСОКИМИ, ПРОСТРАНСТВО ДЛЯ СНИЖЕНИЯ КЛЮЧЕВОЙ СТАВКИ БУДЕТ ОГРАНИЧЕНО — ЗАБОТКИН	31.08.2026	15:36	Market Twits	31.08.2026 15:36:00	
Не важно	✴️🇺🇸#BMNR #ETH #cot #крипто Компания BitMine Тома Ли из Fundstrat купила на баланс еще 53 501 ETH на прошлой неделе на балансе уже более 5.9 млн ETH (около 4.8% общего предложения)	31.08.2026	15:38	Market Twits	31.08.2026 15:38:00	
Возможно	Заботкин: Пространство для снижения ключевой ставки будет ограничено пока инфляционные ожидания остаются высокими Читать далее 👉 https://smartlab.news/i/202541 мы в max	31.08.2026	15:39	Смарт Лаб	31.08.2026 15:39:00	
	ВХЗ МСФО 1п2026: 📉Выручка ₽386 млн (-52,3% г/г, снижение в 2,1 раза г/г) 📈Чистая прибыль ₽19,1 млн (увеличение в 3,4 раза г/г) Читать далее 👉 https://smartlab.news/i/202543 #VLHZ	31.08.2026	15:42	Смарт Лаб	31.08.2026 15:42:00	
	Самараэнерго МСФО 1п 2026г: 📈Выручка ₽27,42 млрд (+10,8% г/г) 📈Чистая прибыль ₽0,988 млрд (+36,5% г/г) Читать далее 👉 https://smartlab.news/i/202544 #SAGOP	31.08.2026	15:45	Смарт Лаб	31.08.2026 15:45:00	
	Звезда МСФО 1п 2026г: 📉Выручка ₽596,86 млн (снижение в 2,5 раза г/г) 📈Убыток ₽417,41 млн против убытка ₽578,94 млн годом ранее Читать далее 👉 https://smartlab.news/i/202545 #ZVEZ	31.08.2026	15:48	Смарт Лаб	31.08.2026 15:48:00	
Не важно	#ROSN #Прогноз Freedom Global понизил таргет по акциям Роснефти с 600 до 560 руб. Рейтинг понижен с "Покупать" до "Держать" Итоги 2 квартала выглядят противоречиво. Выручка Роснефти выросла всего на 0,6% и достигла 4,29 трлн рублей. При этом EBITDA продемонстрировал рост на 23% г/г, до 1,3 трлн руб., а чистая прибыль, относящаяся к акционерам, напротив, просела на 18,4% г/г, составив 200 млрд руб. Тем не менее, уровень полученной Роснефтью в 1 полугодии текущего года чистой прибыли оказался выше консенсус‑прогноза на 2,5%.	31.08.2026	15:51	Шпион РЦБ	31.08.2026 15:51:00	
Не важно	💥🇹🇼#2454TW #NVDA Nvidia инвестирует $3,5 млрд в тайваньского производителя чипов MediaTek	31.08.2026	15:54	Market Twits	31.08.2026 15:54:00	
Важно	Глава РФПИ Дмитриев: Диалог с американской стороной продолжается У России очень чёткая позиция и по экономике, и по мирным договорённостям, и всё больше и больше людей начинают эту позицию понимать. Читать далее 👉 https://smartlab.news/i/202549 мы в max	31.08.2026	15:58	Смарт Лаб	31.08.2026 15:58:00	
Не важно	⚠️🇺🇸#доходности #сша #облигации Доходности 10-леток США выросли до максимума с января 2025г US 10-YEAR YIELD RISES TO 4.75%, HIGHEST SINCE JANUARY 2025 сильные распродажи в гособлигациях США продолжаются... даже в 30-летках...	31.08.2026	15:59	Market Twits	31.08.2026 15:59:00	
Не важно	МНЕНИЕ: Ренессанс Капитал актуализировал оценки акций в нефтегазовом секторе: 🔸 Роснефть: целевая цена понижена до 500 руб., рейтинг "Держать" сохранен 🔸 Лукойл: целевая цена повышена до 5800 руб., рейтинг повышен до "Покупать" 🔸 Газпром нефть: целевая цена 550 руб. и рейтинг "Держать" сохранены #ROSN #LKOH #SIBN Читать далее 👉 https://smartlab.news/i/202550 мы в max	31.08.2026	16:01	Смарт Лаб	31.08.2026 16:01:00	
Не важно	🌾🇯🇵#рис #япония Япония планирует купить 210 000 тонн риса на случай чрезвычайной ситуации	31.08.2026	16:04	Market Twits	31.08.2026 16:04:00	
Возможно	🇷🇺#дкп #россия #спикеры ЦБ РФ: Выступление заместителя Председателя Банка России Алексея Заботкина о проекте Основных направлений единой государственной денежно-кредитной политики на 2027–2029 годы — подробно	31.08.2026	16:06	Market Twits	31.08.2026 16:06:00	
Возможно	#Политика Путин сейчас проводит встречу с Си	31.08.2026	16:07	Шпион РЦБ	31.08.2026 16:07:00	
Возможно	❗️🇷🇺🇨🇳🇮🇳🇰🇿#событие #россия #китай #казахстан #шос Путин проводит встречу с Си Цзиньпином, Моди и Токаевым в Бишкеке трансляция	31.08.2026	16:08	Market Twits	31.08.2026 16:08:00	
Возможно	⚠️🇺🇸🇮🇷#санкции #иран Бессент, вслед за Трампом говорит, что Иран повержен, уничтожен, полный коллапс, обещает увеличить санкционное давление	31.08.2026	16:09	Market Twits	31.08.2026 16:09:00	
	🇷🇺#VSMO #отчетность ВСМПО-АВИСМА 1П МСФО 2026Г = ПРИБЫЛЬ +9.2 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +2.4 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	16:13	Market Twits	31.08.2026 16:13:00	
Возможно	Песков: Путин и Си Цзиньпин, в основном, говорили о двусторонних отношениях. Украинский кризис обсуждался рефреном, по касательной, собственно, обсуждения не было Читать далее 👉 https://smartlab.news/i/202551 мы в max	31.08.2026	16:15	Смарт Лаб	31.08.2026 16:15:00	
Возможно	Президент Ирана заявил, что Тегеран по-прежнему стремится к мирному урегулированию конфликта с США путем переговоров, несмотря на эскалацию боевых действий за последние 24 часа Читать далее 👉 https://smartlab.news/i/202552 мы в max	31.08.2026	16:15	Смарт Лаб	31.08.2026 16:15:00	
	ВСМПО-АВИСМА МСФО 1п 2026г: 📉Выручка ₽37,36 млрд (-24,2% г/г) 📈Чистая прибыль ₽9,22 млрд (рост в 3,8 раза г/г) #VSMO Читать далее 👉 https://smartlab.news/i/202553 мы в max	31.08.2026	16:19	Смарт Лаб	31.08.2026 16:19:00	
Возможно	🇷🇺🇨🇳#событие #россия #китай #макро Принципиальные подходы России и Китая во внешнеполитических вопросах полностью совпадают - Путин Двусторонние отношения Китая и России будут только укрепляться — Си Цзиньпин Переговоры Путина и Си Цзиньпина в Бишкеке прошли очень хорошо — Песков	31.08.2026	16:21	Market Twits	31.08.2026 16:21:00	
