Надо брать,Текст сообщения,Дата,Время,Канал,Тайминг,Проверка,Причина ошибки
Важно,"🇷🇺#INCB #отчетность ИНКАБ - РСБУ 1п 2026г Выручка составила 2 473,1 млн руб. (−1,6% г/г) EBITDA составила 856,8 млн руб., увеличившись на 89,5% г/г Чистая прибыль составила 302,4 млн руб. против убытка 168,5 млн руб. годом ранее",21.08.2026,15:50,MarketTwits,21.08.2026 15:50:57,ок,Ошибки нет
Возможно,"🇷🇺#ELFV #отчетность ВЫРАБОТКА ЭЛЕКТРОЭНЕРГИИ СТАНЦИЯМИ ""ЭЛ5-ЭНЕРГО"" В I ПОЛУГОДИИ СОСТАВИЛА 14,6 МЛРД КВТ-Ч ПРОТИВ 11,9 МЛРД КВТ-Ч ГОДОМ РАНЕЕ",21.08.2026,16:04,MarketTwits,21.08.2026 16:04:54,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика Уиткофф и Кушнер пока не собираются приезжать в Киев, пишут украинские СМИ",21.08.2026,16:39,MarketTwits,21.08.2026 16:39:39,ок,Ошибки нет
Возможно,⬆️🛢🇷🇺#нефть #россия В Индии российская нефть марки Urals снова торгуется с премией по отношению к Brent на фоне высокого спроса и сокращения предложения — RTRS,21.08.2026,17:09,MarketTwits,21.08.2026 17:09:40,Не важно,Потому что это новость касается просто абстрактного роста цены и российской
Возможно,"🛢🇷🇺#бензин #россия Александр Новак провел совещание по ситуации на внутреннем рынке топлива Минэнерго России доложило, что нефтяные компании увеличивают поставки автомобильного бензина и дизельного топлива на внутренний рынок, в том числе за счет наращивания импортных поставок и выпуска в обращение топлива экологических классов К2, К3 и К4.",21.08.2026,17:15,MarketTwits,21.08.2026 17:15:46,Ок,Ошибки нет
Важно,🇷🇺#CARM #отчетность СТГ МСФО 1П 2026Г = ПРИБЫЛЬ + 132 МЛН РУБ ПРОТИВ +71.9 МЛН ГОДОМ РАНЕЕ,21.08.2026,17:24,MarketTwits,21.08.2026 17:24:57,ок,Ошибки нет
Возможно,"🇷🇺#страхование #россия #обзор В январе – июне 2026 года объем страховых премий увеличился на 14,4% относительно такого же периода прошлого года, до 2 трлн рублей. Рынок страхования вырос благодаря накопительному страхованию жизни (НСЖ) — обзор ЦБ",21.08.2026,17:41,MarketTwits,21.08.2026 17:41:28,Не важно,Просто какая-то абстрактная новость про рынок страхования в
Не важно,⚠️🇮🇷🇺🇸#иран #геополитика Командующий военно-морскими силами Ирана: Скоро мы преподадим врагу исторический урок на море - Fars News,21.08.2026,18:17,MarketTwits,21.08.2026 18:17:36,Возможно,Потому что это касается конфликта между США и Ираном
Возможно,"🛢🇷🇺#бензин #россия На российских АЗС будут маркировать экологический класс топлива. Информация об экологическом классе топлива будет указываться на АЗС и в кассовом чеке, сообщило правительство России по итогам совещания",21.08.2026,18:39,MarketTwits,21.08.2026 18:39:41,Не важно,Потому что это просто какая-то новость о маркировки топлива или тип тау
Не важно,"⚠️🇺🇸🇮🇷#иран #геополитика #трамп Трамп: Иран хотел бы заключить сделку, но пока не готов к правильной сделке",21.08.2026,23:58,MarketTwits,21.08.2026 23:58:21,Возможно,Потому что это касается конфликта между США и Ираном
Важно,⚠️🇷🇺#OZON #геополитика СКЛАД OZON ВПЕРВЫЕ АТАКОВАН В ЧАПАЕВСКЕ САМАРСКОЙ ОБЛАСТИ. На складе Ozon в Самарской области начался пожар после атаки ВСУ. Работа склада остановлена на неопределенный срок. «Самарский склад Ozon был основным для Центральной России» — селлеры пишут Бизнес ФМ Комментарий Ozon — подробнее,22.08.2026,9:50,MarketTwits,22.08.2026 9:50:42,ок,Ошибки нет
Возможно,⬇️🇷🇺#OZON = планка вниз на торгах выходного дня,22.08.2026,10:06,MarketTwits,22.08.2026 10:06:18,Важно,Потому что это касается планки по конкретной бумаги на торгах выходного дня
Не важно,"⬇️🇷🇺#AFKS = планка вниз на торгах выходного дня АФК принадлежит 31,8% акций Ozon ранее сообщалось, что АФК «Система» заложила в ВТБ пакет акций Ozon на 320 млрд руб",22.08.2026,10:15,MarketTwits,22.08.2026 10:15:49,Важно,Потому что это касается планки по конкретной бумаги на торгах выходного дня
Возможно,"🇷🇺#PHOR #отчетность ВЫРУЧКА ФОСАГРО ВО II КВАРТАЛЕ ВЫРОСЛА НА 8%, ЧИСТАЯ ПРИБЫЛЬ УПАЛА В 1,5 РАЗА отчет",22.08.2026,10:22,MarketTwits,22.08.2026 10:22:38,Важно,Потому что это отчётность компании
Не важно,"⚠️🇺🇸🇮🇷#иран #геополитика Трамп заявил, что переход к стратегии экономической войны против Ирана не означает отказ от военных опций. Трамп вновь заявил, что считает Ормузский пролив территорией США",22.08.2026,10:24,MarketTwits,22.08.2026 10:24:38,Возможно,Потому что это касается конфликта между США и Ираном
Возможно,🇮🇳🇷🇺#событие #индия #россия 23-24 августа - Глава МИД Индии с визитом в России,22.08.2026,10:29,MarketTwits,22.08.2026 10:29:24,Важно,Потому что это касается встречи двух глав государства России
Возможно,"💎🇷🇺🇮🇳#алмазы #россия #индия Создание кластера огранки алмазов и развитие местного производства в России вряд ли создаст угрозу для алмазной отрасли Сурата в Индии, считают местные производители и трейдеры — The Times of India #ALRS",22.08.2026,10:41,MarketTwits,22.08.2026 10:41:32,Не важно,Потому что это касается товарного рынка алмазов
Важно,"⚠️🇩🇪🇷🇺#геополитика #германия #нато #россия Германия планирует создать арсенал дальнобойного оружия. Целью создания арсенала дальнобойных вооружений должно стать сдерживание России, указано в документах. — POLITICO",22.08.2026,10:45,MarketTwits,22.08.2026 10:45:52,ок,Ошибки нет
Важно,⚠️🇵🇱🇷🇺#геополитика #польша #нато #россия Польша установила бетонные заграждения на границе с Россией — AFP,22.08.2026,10:47,MarketTwits,22.08.2026 10:47:16,ок,Ошибки нет
Важно,"⚠️🛢#ормуз #нато #геополитика Страны НАТО в этот раз могут прийти США на помощь в Ормузском проливе, но каждая из стран блока будет действовать по одиночке, чтобы формально НАТО не была участником операции в проливе. Такой вариант сейчас обсуждается — RTRS Ранее сообщалось, что Иран может начать наносить удары по европейским странам, если те примут участие против его суверенитета",22.08.2026,11:40,MarketTwits,22.08.2026 11:40:01,ок,Ошибки нет
Важно,🇷🇺#дкп #россия В Совфеде сочли дефляцию важным сигналом для снижения ставки ЦБ — ТАСС,22.08.2026,12:03,MarketTwits,22.08.2026 12:03:52,ок,Ошибки нет
Не важно,"⬇️🇷🇺#SGZH = планка вниз на торгах выходного дня в Сегеже есть доля у АФК Системы у которой, в свою очередь, есть доля в Ozon у всех трех планка вниз на торгах выходного дня... ⚠️#OZON #AFKS #SGZH",22.08.2026,13:00,MarketTwits,22.08.2026 13:00:33,Важно,Потому что это касается планки на торгах
Возможно,"Необязательно искать сложные решения, чтобы деньги работали Часть средств можно инвестировать, часть — оставить в резерве, а часть — разместить на вкладе и заранее знать срок и доходность. С 15 августа для клиентов Alfa Only действуют повышенные ставки: 14,2% годовых с капитализацией на 6 месяцев для новых денег; 13,5% на сроках от 9 месяцев до 3 лет при сумме от 1 млн рублей; 13,2% на тех же сроках при сумме до 1 млн рублей. Для средств, которые уже находились в накоплениях Альфа-Банка, — 14% годовых с капитализацией на 6 месяцев. Минимальная сумма открытия — 10 000 рублей. Вклад доступен в мобильном приложении, Альфа-Онлайн и офисах Альфа-Банка. Иногда хорошая стратегия — просто заранее знать, что будет с деньгами дальше @aaa_only",22.08.2026,13:21,MarketTwits,22.08.2026 13:21:24,Не важно,Потому что это какой-то рекламное сообщение
Важно,"⚠️🇺🇦#нато #украина #геополитика #прогноз Россия не придет договариваться к Западу, вопреки его соответствующим надеждам. Договариваться в нынешней Европе просто не с кем -- Лавров",22.08.2026,17:27,MarketTwits,22.08.2026 17:27:57,ок,Ошибки нет
Возможно,⬇️🇷🇺#OZON = планка вниз ⬆️🇷🇺#MVID = планка вверх,22.08.2026,17:33,MarketTwits,22.08.2026 17:33:32,Возможно,Ошибки нет
Важно,"⚠🇺🇦#украина #геополитика Наращивание российских ударов по Украине - результат очередной авантюры Киева и его западных спонсоров. Киев сам ""открыл ящик Пандоры"", начав удары по объектам экономики. Ответ всегда будет. Мы не позволим противнику сорвать выборы. Россия готова к переговорам, но с учетом ситуации на земле. Предложения, которые до нас доводятся сейчас, носят экзотический характер и неприемлемы. - Путин в интервью Зарубину для ИС ""Вести""",22.08.2026,17:53,MarketTwits,22.08.2026 17:53:09,ок,Ошибки нет
Возможно,"🛢🇷🇺#бензин #россия Новак заявил о планах балансировать рынок топлива за счет импорта ""По импорту, я считаю, что балансировать нужно как раз именно импортом. И здесь объемы - это тоже действительно временный характер носит, в зависимости от дефицита будет колебаться объем импорта""",22.08.2026,20:53,MarketTwits,22.08.2026 20:53:01,Не важно,Потому что это просто касается какой-то абстрактные новости про импорт бензина
Возможно,"🛢#нефть #манипулирование #трамп Западные и арабские эксперты продолжают разоблачать главного американского сливатора ""позитивных инсайдов Белого дома"" Барака Равида из трамповской Axios. На этот раз он попался на сообщениях о том, что в ночь на субботу, благодаря Трампу, пройти через Ормузский пролив смогли целых 40 танкеров. Эксперты сообщают, что на спутниковых снимках, сделанных вчера вечером, видно, как только 4 нефтяных танкера выходят из Ормузского пролива. Эксперты отмечают, что таких ""позитивных отчетов"" Барака насчитывается уже несколько штук и обвиняют его и Axios в содействии манипулированию ценами на нефть.",22.08.2026,21:39,MarketTwits,22.08.2026 21:39:14,Не важно,Потому что это просто какой-то абстрактный комментарий про арабских экспертов илита
Важно,"🚫🛢#нефть #геополитика #иран #логистика Иран атакует любые маршруты экспорта нефти при поддержке стран региона санкций США, заявил секретарь Высшего совета нацбезопасности исламской республики Мохсен Резаи",22.08.2026,23:15,MarketTwits,22.08.2026 23:15:58,ок,Ошибки нет
Важно,⚠️🇷🇺#OZON ВСУ второй день подряд атакуют склады OZON. Сегодня атакован склад в Оренбурге.,23.08.2026,10:08,MarketTwits,23.08.2026 10:08:49,ок,Ошибки нет
Важно,"⚠️🇺🇦#выборы #украина Зеленский заявил, что выборы прямо сейчас — это цунами для государства, которое расколет Украину.",23.08.2026,11:09,MarketTwits,23.08.2026 11:09:38,ок,Ошибки нет
Важно,"🇷🇺🇺🇸#событие #россия #сша ""Если Путин и Трамп будут на одном и том же саммите - то неизбежно встретятся и переговорят"" — - Ушаков на вопрос Зарубина о возможной встрече на саммите АТЭС в ноябре в Китае саммит АТЭС пройдет 18–19 ноября 2026 года в Шэньчжэне",23.08.2026,11:20,MarketTwits,23.08.2026 11:20:25,ок,Ошибки нет
Важно,"⚠️🇮🇷🇺🇸#иран #сша #геополитика Иран ударит по экономическим интересам США, если против него будут введены ""масштабные санкции"" — глава национальной безопасности ожидается, что 24 августа глава Минфина США Бессент на конференции расскажет о планах США по экономической изоляции Ирана",23.08.2026,11:50,MarketTwits,23.08.2026 11:50:13,ок,Ошибки нет
Важно,"⚠️🇷🇺#OZON #прогноз В украинских медиа появился термин ""деOZONофикация"" с перечислением складов — мониторинг",23.08.2026,12:03,MarketTwits,23.08.2026 12:03:39,ок,Ошибки нет
Возможно,"🇷🇺#бюджет #россия #keepcalm Бюджет России обеспечен ресурсами, проблем с финансами в стране нет, заявил министр финансов Антон Силуанов в интервью Павлу Зарубину для ИС ""Вести",23.08.2026,12:55,MarketTwits,23.08.2026 12:55:50,Важно,Потому что это касается бюджета России
Важно,🛢🇷🇺#бензин #россия Путин: правительство должно держать под контролем ситуацию с топливом,23.08.2026,13:40,MarketTwits,23.08.2026 13:40:23,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика Визит Уиткоффа и Кушнера в Киев и Москву откладывается, сообщил ТАСС источник",23.08.2026,15:36,MarketTwits,23.08.2026 15:36:47,ок,Ошибки нет
Возможно,"🇺🇸#акции #трамп Трамп в июне совершил более 1 тыс сделок на бирже на сумму до $263,1 млн — раскрытие",23.08.2026,20:49,MarketTwits,23.08.2026 20:49:16,Не важно,Потому что это касается каких-то там сделок трампа неинтересно интересно
Важно,🇷🇺#MOEX #отчетность 26 августа - Мосбиржа - МСФО 1п 2026г 🇷🇺#SMLT #отчетность 28 августа - Самолет - МСФО 1п 2026г 🇷🇺#HYDR #отчетность 28 августа - Русгидро - МСФО 1п 2026г 🇷🇺#IVAT #отчетность 28 августа - Ива - МСФО 1п 2026г 🇷🇺#MDMG #отчетность 28 августа - МД Медикал - МСФО 1п 2026г 🇷🇺#SFIN #отчетность 28 августа - ЭсЭфАй - МСФО 1п 2026г 🇷🇺#LSNG #отчетность 28 августа - Ленэнерго - МСФО 1п 2026г,23.08.2026,21:54,MarketTwits,23.08.2026 21:54:36,ок,Ошибки нет
Важно,"🇳🇴🇺🇦#норвегия #украина #нато #геополитика Украина и Норвегия подписали соглашения об оборонном и энергетическом сотрудничестве, сообщил Зеленский",23.08.2026,22:53,MarketTwits,23.08.2026 22:53:36,ок,Ошибки нет
Возможно,"🌕#золото #cot С начала августа наблюдается стремительный рост спроса на опционы ""call"" на золото — данные Goldman",23.08.2026,23:16,MarketTwits,23.08.2026 23:16:07,Не важно,Потому что это касается товарного рынка золота
Важно,"❗️🛢#нефть #ормуз #иран #геополитика Иран предупредил, что “ни одна капля нефти” не покинет Ормузский пролив или Персидский залив, если экономическое давление Вашингтона продолжится. Старший военный советник Мохсен Резаи также заявил, что Тегеран будет рассматривать любую страну, поддерживающую экономические меры США против Ирана, как участие в акте войны. Ранее глава нацбезопасности Ирана заявил, что Тегеран ударит по экономическим интересам США, если против него будут введены ""масштабные санкции"" Ожидается, что 24 августа глава Минфина США Бессент на конференции расскажет о планах США по ""масштабной экономической изоляции"" Ирана.",23.08.2026,23:27,MarketTwits,23.08.2026 23:27:58,ок,Ошибки нет
Важно,"🚫✴️#санкции #крипто #биржи В связи с санкционными ограничениями, Binance с 23 августа прекращает обработку транзакций с участием криптобирж Rapira, Aifory Pro, ABCeX, WhiteBird, NoOnecrypto, Tradex, Monease, BitPapa, Exnode, HTX (Huobi Global SA) и EXMO.",23.08.2026,23:39,MarketTwits,23.08.2026 23:39:13,ок,Ошибки нет
Возможно,"⚠️🇷🇺#OZON Дронами атакован логистический центр OZON в Краснодаре, начался крупный пожар, сотрудники эвакуированы.",24.08.2026,6:20,MarketTwits,24.08.2026 6:20:14,Важно,Потому что это касается разрушения инфраструктуры какой-то конкретной компании войны между россией и Украиной
Возможно,"⚠️🇷🇺#OZON ДРОНАМИ АТАКОВАН ЛОГИСТИЧЕСКИЙ ЦЕНТР OZON В МАХАЧКАЛЕ. НАЧАЛСЯ ПОЖАР, СОТРУДНИКИ ЭВАКУИРОВАНЫ СКЛАДЫ OZON В АДЫГЕЙСКЕ И НЕВИННОМЫССКЕ ВРЕМЕННО ЗАКРЫТЫ ИЗ-ЗА УГРОЗ АТАКИ БПЛА",24.08.2026,6:57,MarketTwits,24.08.2026 6:57:09,Важно,Потому что это касается разрушения инфраструктуры какой-то конкретной компании войны между россией и Украиной
Возможно,🌎#markets,24.08.2026,7:07,MarketTwits,24.08.2026 7:07:21,Не важно,Потому что это просто какой-то рандомный
Возможно,🛢🇹🇷🇷🇺#бензин #россия Россия получила пятую партию бензина из Турции — BBG,24.08.2026,7:15,MarketTwits,24.08.2026 7:15:19,Ок,Ошибки нет
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Глава Минфина США Бессент в колонке для FT анонсировал начало ""дня Д"" для Ирана. ""День Д"" (D-Day) = новый этап ""экономического удушения"" Ирана с попыткой перекрытия оставшихся финансовых и торговых каналов, поддерживающих экономику Ирана. Бессент описал это как «величайшее финансовое наступление из когда-либо предпринятых». ————————————- Иран в ответ заявлял, что все аналогичные попытки США ранее терпели неудачу и провалятся и сейчас. Также Иран предупредил, что “ни одна капля нефти” не покинет Ормузский пролив или Персидский залив, если экономическое давление Вашингтона продолжится. Старший военный советник Мохсен Резаи также заявил, что Тегеран будет рассматривать любую страну, поддерживающую экономические меры США против Ирана, как участие в акте войны. Ожидается, что 24 августа глава Минфина США Бессент на конференции расскажет о планах США по ""масштабной экономической изоляции"" Ирана.",24.08.2026,7:30,MarketTwits,24.08.2026 7:30:06,ок,Ошибки нет
Возможно,"🇷🇺#нерезы #россия Минэкономразвития сообщило, что подготовило проект постановления для нового механизма обратного выкупа российских активов иностранными инвесторами",24.08.2026,7:31,MarketTwits,24.08.2026 7:31:36,Возможно,Ошибки нет
Возможно,⬆️🇷🇺#уголь #россия Уголь в портах Балтики подорожал до максимума с весны 2023 г — Ъ,24.08.2026,7:41,MarketTwits,24.08.2026 7:41:54,Не важно,Касается товарного рынка угля
Важно,⚠️🇷🇺#OZON В РЕЗУЛЬТАТЕ УДАРОВ БПЛА ВСУ НА ТЕРРИТОРИИ ЛОГИСТИЧЕСКОГО ЦЕНТРА OZON В АДЫГЕЕ ПРОИЗОШЕЛ ПОЖАР - ГЛАВА РЕГИОНА - РИА,24.08.2026,7:43,MarketTwits,24.08.2026 7:43:47,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика #нато Британия разрешила европейской оборонной компании MBDA передать Киеву секретные данные о британских компонентах для дальнобойной ракеты SCALP, чтобы наладить ее сборку на территории Украины. SCALP — это французская версия британской Storm Shadow, обе ракеты используют общие технологии двух стран. Решение Лондона позволит Франции и Украине продвинуться в организации сборки ракеты на украинской территории.",24.08.2026,8:00,MarketTwits,24.08.2026 8:00:12,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика #нато Европейские союзники стекаются в Киев, чтобы пообещать усилить защиту от российских бомбардировок - FT",24.08.2026,8:01,MarketTwits,24.08.2026 8:01:24,ок,Ошибки нет
Возможно,⚠️🇷🇺#лпк #россия Часть лесопромышленников может потерять право на финансовые льготы — Ъ,24.08.2026,8:27,MarketTwits,24.08.2026 8:27:56,Не важно,Это касается лесопромышленности конкретной компании
Возможно,☕️#кофе Аномальные дожди в Бразилии задерживают сбор урожая кофе в Бразилии — BBG,24.08.2026,8:52,MarketTwits,24.08.2026 8:52:05,Не важно,Потому что это касается товарного рынка кофе
Важно,"🇷🇺#WB МИНФИН ПОДГОТОВИЛ МЕРЫ ПОДДЕРЖКИ БИЗНЕСА, ПОСТРАДАВШЕГО ИЗ-ЗА АТАК ВСУ НА ОБЪЕКТЫ WILDBERRIES, И МЕРЫ ПО СОХРАНЕНИЮ РАБОТЫ САМОЙ КОМПАНИИ Минфин: бизнес, пострадавший от атак ВСУ, получит поддержку при ущербе от 5% дохода за год релиз",24.08.2026,9:00,MarketTwits,24.08.2026 9:00:39,ок,Ошибки нет
Важно,"⚠️🇺🇦#событие #украина #геополитика Лидеры ЕС и Британии прибывают в Киев, чтобы отметить День независимости Украины, заявил глава МИД Украины сегодня ожидается много заявлений и анонсов",24.08.2026,9:05,MarketTwits,24.08.2026 9:05:00,ок,Ошибки нет
Важно,⚠️🇷🇺#OZON За выходные и утро понедельника ВСУ атаковали 5 складов OZON,24.08.2026,9:21,MarketTwits,24.08.2026 9:21:53,ок,Ошибки нет
Возможно,🇰🇬🇷🇺#шины #россия #кыргызстан Кыргызстан в 1п 2026г нарастила экспорт шин в Россию почти в 38 раз г/г — Известия,24.08.2026,9:27,MarketTwits,24.08.2026 9:27:05,Не важно,Потому что это касается экспорта шин ваще неинтересно
Возможно,"⬇️🇷🇺#металлы #россия Производство лома в России в 1п 2026г упало почти на 20%. Во втором полугодии ситуация в отрасли улучшится за счет частичного восстановления спроса на сталь в строительном секторе, считают эксперты — Ведомости",24.08.2026,9:28,MarketTwits,24.08.2026 9:28:59,ок,Ошибки нет
Возможно,🇷🇺#брокеры #россия «Алор Брокер» купил новую брокерскую фирму. Сделка позволит брокеру вновь получить депозитарную лицензию. — Forbes,24.08.2026,9:30,MarketTwits,24.08.2026 9:30:30,Не важно,Потому что это касается покупки какой-то компании брокером не
Возможно,⬆️🌕#золото = $4700,24.08.2026,9:38,MarketTwits,24.08.2026 9:38:57,Не важно,Потому что это касается товарного рынка золота и это просто факт цены в моменте
Важно,"⚠️🇺🇦#событие #украина #геополитика #нато Еврокомиссия в понедельник одобрила выделение Украине 6,1 миллиарда евро на закупку вооружений, включая системы противовоздушной и противоракетной обороны, ракеты, боеприпасы и радары — заявление ———————————— Сегодня лидеры ЕС и Британии собираются в Киеве, чтобы отметить День независимости Украины, ожидается много заявлений.",24.08.2026,9:47,MarketTwits,24.08.2026 9:47:05,ок,Ошибки нет
Возможно,"🛢🇮🇳🇷🇺#нефть #индия #россия Зависимость Индии от российской нефти достигла рекордного уровня. В июне и июле Индия импортировала более 2,6 млн баррелей российской нефти в сутки, что это составляет более половины импорта всей сырой нефти в страну. — Kpler",24.08.2026,9:50,MarketTwits,24.08.2026 9:50:47,Возможно,Ошибки нет
Возможно,"💎#алмазы Регуляторные проверки перед продажей De Beers могут занять до 18 месяцев, сообщил CEO Anglo American",24.08.2026,9:53,MarketTwits,24.08.2026 9:53:48,Не важно,Потому что это касается какой-то компании которую я даже не знаю
Возможно,"🇷🇺#SBER #дивиденд Сбер завершил выплату дивидендов за 2025 г: 850,2 млрд рублей - это крупнейшие дивиденды в истории банка, половина из них поступила в бюджет России — компания Сбер: Как показал опрос «СберИнвестиций», большинство инвесторов планируют реинвестировать дивиденды в акции Сбера.",24.08.2026,10:07,MarketTwits,24.08.2026 10:07:29,Возможно,Ошибки нет
Важно,🇷🇺#офз #россия Минфин может возобновить аукционы ОФЗ в сентябре — Силуанов,24.08.2026,10:26,MarketTwits,24.08.2026 10:26:18,ок,Ошибки нет
Возможно,"🇷🇺#зерно #пшеница #интервенции #россия Объем закупок зерна в интервенционный фонд в текущем сезоне может составить от 1 до 3 миллионов тонн, заявила глава Минсельхоза Оксана Лут",24.08.2026,10:28,MarketTwits,24.08.2026 10:28:46,Не важно,Потому что это касается товар на рынке пшеницы и зерна
Важно,"🇪🇺#событие #нато #арктика #геополитика Арктический саммит Евросоюза состоится 13-14 сентября в Финляндии. на саммите будут рассмотрены вопросы укрепления стратегического подхода ЕС к арктическому региону —————— ранее сообщалось, что НАТО запустила миссию ""Арктический часовой"" для расширения своего военного присутствия в Арктике Госдеп заявлял, что действия России в Арктике ставят под угрозу линию обороны НАТО в Атлантике Следующее противостояние России с Западом лежит в богатой ресурсами Арктике, писал BBG",24.08.2026,10:51,MarketTwits,24.08.2026 10:51:37,ок,Ошибки нет
Важно,⚠️🇨🇳🇺🇸#санкции #китай #сша #иран МИД КНР заявил о готовности принять ответные меры в случае санкций США из-за Ирана,24.08.2026,10:55,MarketTwits,24.08.2026 10:55:36,ок,Ошибки нет
Важно,⚠️🇺🇦#украина #геополитика Украину ожидает тяжелейшая зима с начала конфликта — BBG,24.08.2026,10:56,MarketTwits,24.08.2026 10:56:26,ок,Ошибки нет
Возможно,"🇦🇲🇺🇸#армения #логистика #мт Пашинян: железная дорога по ""Маршруту Трампа"" протянется вдоль южной границы Армении. Она пройдет через территорию Азербайджана свяжет страну с Россией и Центральной Азией. Пашинян попросил Россию продать концессию на железные дороги Армении",24.08.2026,11:01,MarketTwits,24.08.2026 11:01:15,Не важно,Потому что это касается Армении всем срать на Армению
Возможно,❗️🛢#нефть #интервенции #мэа ГЛАВА МЭА НЕ ИСКЛЮЧИЛ ВЫСВОБОЖДЕНИЙ НОВЫХ ОБЪЕМОВ НЕФТИ НА РЫНКИ ИЗ РЕЗЕРВОВ ИЗ-ЗА ОРМУЗСКОГО ПРОЛИВА,24.08.2026,11:03,MarketTwits,24.08.2026 11:03:41,Не важно,Потому что это как-то абстрактная активность МЭА
Возможно,"⬆️🌫#медь Заказы на медь на LME выросли на 51 400 тонн. Это максимум с мая, сообщила биржа",24.08.2026,11:06,MarketTwits,24.08.2026 11:06:02,Не важно,Потому что это касается товарного рынка меди
Возможно,🇷🇺#FESH #логистика #россия FESCO развивает альтернативные маршруты доставки грузов на юг России на фоне ситуации в Черном море — компания,24.08.2026,11:10,MarketTwits,24.08.2026 11:10:18,Ок,Ошибки нет
Возможно,🇷🇺#ENPG #телекомы Эн+ запускает мобильную связь в Иркутской области. Мобильная связь и проводной интернет Эн+ Телеком доступны жителям Иркутской области. В дальнейшем компания планирует расширять географию мобильных услуг на другие регионы Сибири.,24.08.2026,11:19,MarketTwits,24.08.2026 11:19:42,Ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика Визит Уиткоффа и Кушнера в Киев ""слегка отложен"", но не отменен — СМИ",24.08.2026,11:38,MarketTwits,24.08.2026 11:38:54,ок,Ошибки нет
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Сегодня США объявят ""самые жесткие в истории санкции"" против Ирана — RTRS",24.08.2026,11:42,MarketTwits,24.08.2026 11:42:12,ок,Ошибки нет
Возможно,🇷🇺#OZON Логистика Ozon в Оренбургской области возвращается в штатный режим - власти - ТАСС,24.08.2026,11:48,MarketTwits,24.08.2026 11:48:29,Важно,Потому что это касается атаки на инфраструктуру конкретной компании и войны между россией и Украиной
Возможно,"⚠️🇦🇲#армения #одкб #геополитика Пашинян заявил, что был бы доволен, если бы ОДКБ исключила Армению из организации",24.08.2026,11:55,MarketTwits,24.08.2026 11:55:16,Не важно,Потому что это касается Армении всем срать на Армению
Важно,🇷🇺🇮🇳#событие #индия #россия Путин в понедельник примет в Кремле главу МИД Индии — Песков,24.08.2026,12:06,MarketTwits,24.08.2026 12:06:10,ок,Ошибки нет
Важно,"❗️🇷🇺#OZON ПЕСКОВ О ВОЗМОЖНОЙ ПОМОЩИ ""ОЗОН"" ПОСЛЕ АТАК: В ПРАВИТЕЛЬСТВЕ РАЗРАБАТЫВАЮТ ВМЕСТЕ С БИЗНЕСОМ РАЗНЫЕ ВАРИАНТЫ ОКАЗАНИЯ ПОДДЕРЖКИ В ТАКОЙ СИТУАЦИИ",24.08.2026,12:08,MarketTwits,24.08.2026 12:08:40,ок,Ошибки нет
Важно,"⚠️🇬🇧🇺🇦#британия #геополитика #нато #украина БРИТАНИЯ УЧАСТВУЕТ В ВОЙНЕ ПРОТИВ РФ НА СТОРОНЕ КИЕВСКОГО РЕЖИМА. ЛОНДОН ПРОДОЛЖАЕТ ИГРАТЬ РОЛЬ ПРОВОКАТОРА В КОНФЛИКТЕ -- ПЕСКОВ КИЕВСКИЙ РЕЖИМ, ОТКРЫВШИЙ ЯЩИК ПАНДОРЫ, ОЩУЩАЕТ ОТВЕТЫ НА СВОИ ДЕЙСТВИЯ КАЖДУЮ НОЧЬ И БУДЕТ ОЩУЩАТЬ ДАЛЬШЕ — ПЕСКОВ ОБ АТАКАХ НА СКЛАДЫ OZON",24.08.2026,12:09,MarketTwits,24.08.2026 12:09:42,ок,Ошибки нет
Возможно,"❗️🛢🇷🇺#бензин #россия Новак: объемы нефтепродуктов экологических классов ниже «Евро‐5» на внутреннем рынке останутся минимальными, не превысят 10%. Крупнейшие ВИНКи не намерены переходить на выпуск автобензина марок К‐2, К‐3 или К‐4 и намерены ориентироваться исключительно на стандарт К‐5.",24.08.2026,12:11,MarketTwits,24.08.2026 12:11:33,Не важно,Потому что это касается каких-то экологических норм бензина в России
Важно,⬇️🇷🇺#зерно #пшеница #россия Меры по минимизации проблем с экспортом российского зерна из-за ударов Киева определены — Песков,24.08.2026,12:12,MarketTwits,24.08.2026 12:12:18,ок,Ошибки нет
Важно,🇷🇺#AQUA #отчетность 28 августа - Инарктика - МСФО 1п 2026г,24.08.2026,12:31,MarketTwits,24.08.2026 12:31:27,ок,Ошибки нет
Возможно,"🌕#золото #cot За последние 3 недели фонд Fidelity International удвоил лонг в золоте из-за неопределенности политики ФРС ——————————— Кэвин Уорш с момента своего вступления на пост главы ФРС уже несколько месяцев пудрит всем мозги своими ""прогрессивными"" речами о светлом будущем и текущих преобразованиях в ФРС о которых обещает рассказать потом...",24.08.2026,12:42,MarketTwits,24.08.2026 12:42:18,Не важно,Потому что это касается какого-то фонда иностранного у которому всем похер
